Date,Nifty50_Open ,Nifty50_High,Nifty50_Low,Nifty50_Close,Nifty50_Shares Traded,Nifty50_Turnover (? Cr),Bank_Open ,Bank_High ,Bank_Low,Bank_Close,Bank_Shares Traded,Bank_Turnover (? Cr),Next_Date,Next_Nifty50_Open ,Next_Nifty50_High,Next_Nifty50_Low,Next_Nifty50_Close,Next_Nifty50_Shares Traded,Next_Nifty50_Turnover (? Cr),Next_Bank_Open ,Next_Bank_High ,Next_Bank_Low,Next_Bank_Close,Next_Bank_Shares Traded,Next_Bank_Turnover (? Cr)
15-May-23,18339.3,18458.9,18287.9,18398.85,216088535,19329.75,43821.05,44151.7,43666.6,44072.1,161260256,6189.39,16-May-23,18432.35,18432.35,18264.35,18286.5,219490491,21063.78,44144.15,44144.15,43815.7,43903.7,222536217,10093.99
16-May-23,18432.35,18432.35,18264.35,18286.5,219490491,21063.78,44144.15,44144.15,43815.7,43903.7,222536217,10093.99,17-May-23,18300.45,18309,18115.35,18181.75,229898510,20903.12,43948.5,43992.75,43446.4,43698.7,203597921,9812.19
17-May-23,18300.45,18309,18115.35,18181.75,229898510,20903.12,43948.5,43992.75,43446.4,43698.7,203597921,9812.19,18-May-23,18287.5,18297.2,18104.85,18129.95,272103515,24172.44,44006.9,44079.2,43673.7,43752.3,226492176,12657.89
18-May-23,18287.5,18297.2,18104.85,18129.95,272103515,24172.44,44006.9,44079.2,43673.7,43752.3,226492176,12657.89,19-May-23,18186.15,18218.1,18060.4,18203.4,260898407,22105.67,43930,44020.9,43531.9,43969.4,192042449,9384.53
19-May-23,18186.15,18218.1,18060.4,18203.4,260898407,22105.67,43930,44020.9,43531.9,43969.4,192042449,9384.53,22-May-23,18201.1,18335.25,18178.85,18314.4,262560942,25147.58,43935.3,44026.75,43684.9,43885.1,183783537,8083.39
22-May-23,18201.1,18335.25,18178.85,18314.4,262560942,25147.58,43935.3,44026.75,43684.9,43885.1,183783537,8083.39,23-May-23,18362.9,18419.75,18324.2,18348,270354216,28648.15,43978.9,44095.25,43852.2,43954.45,142021247,7352.99
23-May-23,18362.9,18419.75,18324.2,18348,270354216,28648.15,43978.9,44095.25,43852.2,43954.45,142021247,7352.99,24-May-23,18294.8,18392.6,18262.95,18285.4,232621507,24273.17,43751.95,44010.45,43639.8,43677.85,148625634,8248.12
24-May-23,18294.8,18392.6,18262.95,18285.4,232621507,24273.17,43751.95,44010.45,43639.8,43677.85,148625634,8248.12,25-May-23,18268.9,18338.1,18202.4,18321.15,235915651,22411.41,43630.25,43719.85,43390.3,43681.4,170186160,8602.95
25-May-23,18268.9,18338.1,18202.4,18321.15,235915651,22411.41,43630.25,43719.85,43390.3,43681.4,170186160,8602.95,26-May-23,18368.35,18508.55,18333.15,18499.35,198668359,19094.08,43765.35,44067.6,43588.8,44018,143222738,6120.71
26-May-23,18368.35,18508.55,18333.15,18499.35,198668359,19094.08,43765.35,44067.6,43588.8,44018,143222738,6120.71,29-May-23,18619.15,18641.2,18581.25,18598.65,265323978,19237.57,44276.8,44483.35,44193.95,44311.9,148580468,6899.27
29-May-23,18619.15,18641.2,18581.25,18598.65,265323978,19237.57,44276.8,44483.35,44193.95,44311.9,148580468,6899.27,30-May-23,18606.65,18662.45,18575.5,18633.85,234391323,21660.69,44277.35,44498.6,44207.5,44436.35,157593352,9002.94
30-May-23,18606.65,18662.45,18575.5,18633.85,234391323,21660.69,44277.35,44498.6,44207.5,44436.35,157593352,9002.94,31-May-23,18594.2,18603.9,18483.85,18534.4,696495765,70755.08,44318,44339.05,43822.7,44128.15,305745119,30474.33
31-May-23,18594.2,18603.9,18483.85,18534.4,696495765,70755.08,44318,44339.05,43822.7,44128.15,305745119,30474.33,01-Jun-23,18579.4,18580.3,18464.55,18487.75,265630759,24056.99,44172.05,44179.95,43706.15,43790.2,182945759,10854.82
01-Jun-23,18579.4,18580.3,18464.55,18487.75,265630759,24056.99,44172.05,44179.95,43706.15,43790.2,182945759,10854.82,02-Jun-23,18550.85,18573.7,18478.4,18534.1,270923679,23171.88,43997.3,44088.9,43812.55,43937.85,123851342,6150.87
02-Jun-23,18550.85,18573.7,18478.4,18534.1,270923679,23171.88,43997.3,44088.9,43812.55,43937.85,123851342,6150.87,05-Jun-23,18612,18640.15,18582.8,18593.85,256111496,20369.16,44103.25,44266.15,44074.2,44101.65,124513498,6395.22
05-Jun-23,18612,18640.15,18582.8,18593.85,256111496,20369.16,44103.25,44266.15,44074.2,44101.65,124513498,6395.22,06-Jun-23,18600.8,18622.75,18531.6,18599,220789926,21957.47,44156.7,44236.2,44009.7,44164.55,123561408,7703.56
06-Jun-23,18600.8,18622.75,18531.6,18599,220789926,21957.47,44156.7,44236.2,44009.7,44164.55,123561408,7703.56,07-Jun-23,18665.6,18738.95,18636,18726.4,260109671,21482.77,44318.7,44346.3,44143.5,44275.3,119216872,7450.27
07-Jun-23,18665.6,18738.95,18636,18726.4,260109671,21482.77,44318.7,44346.3,44143.5,44275.3,119216872,7450.27,08-Jun-23,18725.35,18777.9,18615.6,18634.55,286468927,22762.3,44208.3,44459.25,43917.9,43995.25,160157265,9066.63
08-Jun-23,18725.35,18777.9,18615.6,18634.55,286468927,22762.3,44208.3,44459.25,43917.9,43995.25,160157265,9066.63,09-Jun-23,18655.9,18676.65,18555.4,18563.4,221760885,20181.42,44045.75,44220.1,43932.6,43989,132310915,8922.34
09-Jun-23,18655.9,18676.65,18555.4,18563.4,221760885,20181.42,44045.75,44220.1,43932.6,43989,132310915,8922.34,12-Jun-23,18595.05,18633.6,18559.75,18601.5,179463966,15386.04,44035.2,44124.95,43874.05,43944.2,91412250,4657.88
12-Jun-23,18595.05,18633.6,18559.75,18601.5,179463966,15386.04,44035.2,44124.95,43874.05,43944.2,91412250,4657.88,13-Jun-23,18631.8,18728.9,18631.8,18716.15,233167883,22612.62,43889.7,44138.15,43889.7,44079.85,160045490,9026.03
13-Jun-23,18631.8,18728.9,18631.8,18716.15,233167883,22612.62,43889.7,44138.15,43889.7,44079.85,160045490,9026.03,14-Jun-23,18744.6,18769.7,18690,18755.9,261354575,19520.08,44181.65,44212.35,43956.15,43988,154599371,6902.13
14-Jun-23,18744.6,18769.7,18690,18755.9,261354575,19520.08,44181.65,44212.35,43956.15,43988,154599371,6902.13,15-Jun-23,18774.45,18794.1,18669.05,18688.1,263004991,24820.77,44054.35,44077.45,43397.5,43443.6,228184460,10402.67
15-Jun-23,18774.45,18794.1,18669.05,18688.1,263004991,24820.77,44054.35,44077.45,43397.5,43443.6,228184460,10402.67,16-Jun-23,18723.3,18864.7,18710.5,18826,272771256,28877.67,43583.35,44083.25,43536.95,43938.15,234688714,6524.62
16-Jun-23,18723.3,18864.7,18710.5,18826,272771256,28877.67,43583.35,44083.25,43536.95,43938.15,234688714,6524.62,19-Jun-23,18873.3,18881.45,18719.15,18755.45,219815214,22699.84,44015.3,44040.35,43501.4,43633.75,234897358,9396.05
19-Jun-23,18873.3,18881.45,18719.15,18755.45,219815214,22699.84,44015.3,44040.35,43501.4,43633.75,234897358,9396.05,20-Jun-23,18752.35,18839.7,18660.65,18816.7,211649257,19687.08,43597.55,43823.95,43345.95,43766.5,161879136,6951.08
20-Jun-23,18752.35,18839.7,18660.65,18816.7,211649257,19687.08,43597.55,43823.95,43345.95,43766.5,161879136,6951.08,21-Jun-23,18849.4,18875.9,18794.85,18856.85,217481345,19102.48,43894.4,43946.7,43698.95,43859.2,179991909,6449.9
21-Jun-23,18849.4,18875.9,18794.85,18856.85,217481345,19102.48,43894.4,43946.7,43698.95,43859.2,179991909,6449.9,22-Jun-23,18853.6,18886.6,18759.5,18771.25,252697871,24990.87,43874.8,44042.15,43663.35,43724.85,263760682,11850.43
22-Jun-23,18853.6,18886.6,18759.5,18771.25,252697871,24990.87,43874.8,44042.15,43663.35,43724.85,263760682,11850.43,23-Jun-23,18741.85,18756.4,18647.1,18665.5,210562119,20619.6,43641.6,43824.1,43519.55,43622.9,161308806,6132.03
23-Jun-23,18741.85,18756.4,18647.1,18665.5,210562119,20619.6,43641.6,43824.1,43519.55,43622.9,161308806,6132.03,26-Jun-23,18682.35,18722.05,18646.7,18691.2,171271325,17355.14,43714.75,43773.1,43541.75,43641.05,120687324,5075.61
26-Jun-23,18682.35,18722.05,18646.7,18691.2,171271325,17355.14,43714.75,43773.1,43541.75,43641.05,120687324,5075.61,27-Jun-23,18748.55,18829.25,18714.25,18817.4,222464605,21415.89,43804.55,44194.65,43693.15,44121.5,137304064,6984.16
27-Jun-23,18748.55,18829.25,18714.25,18817.4,222464605,21415.89,43804.55,44194.65,43693.15,44121.5,137304064,6984.16,28-Jun-23,18908.15,19011.25,18861.35,18972.1,398782019,37356.94,44419.5,44508.4,44163.2,44327.8,243833321,12900.23
28-Jun-23,18908.15,19011.25,18861.35,18972.1,398782019,37356.94,44419.5,44508.4,44163.2,44327.8,243833321,12900.23,30-Jun-23,19076.85,19201.7,19024.6,19189.05,247906587,26376.62,44666,44787.1,44447.2,44747.35,191257943,8995.82
30-Jun-23,19076.85,19201.7,19024.6,19189.05,247906587,26376.62,44666,44787.1,44447.2,44747.35,191257943,8995.82,03-Jul-23,19246.5,19345.1,19234.4,19322.55,226050219,22681.54,44957.95,45353.2,44882.1,45158.1,228168358,9243.6
03-Jul-23,19246.5,19345.1,19234.4,19322.55,226050219,22681.54,44957.95,45353.2,44882.1,45158.1,228168358,9243.6,04-Jul-23,19406.6,19434.15,19300,19389,226916635,26634.06,45310.55,45655.5,45000.25,45301.45,462969627,11991.7
