Date,Price,Open,High,Low,Vol.,Change %,IC_Date,IC_Price,IC_Open,IC_High,IC_Low,IC_Vol.,IC_Change %,Sb_Date,Sb_Price,Sb_Open,Sb_High,Sb_Low,Sb_Vol.,Sb_Change %,axi_Date,axi_Price,axi_Open,axi_High,axi_Low,axi_Vol.,axi_Change %,hdf_Date,hdf_Price,hdf_Open,hdf_High,hdf_Low,hdf_Vol.,hdf_Change %,indu_Date,indu_Price,indu_Open,indu_High,indu_Low,indu_Vol.,indu_Change %,auf_Date,auf_Price,auf_Open,auf_High,auf_Low,auf_Vol.,auf_Change %,ban_Date,ban_Price,ban_Open,ban_High,ban_Low,ban_Vol.,ban_Change %,bob_Date,bob_Price,bob_Open,bob_High,bob_Low,bob_Vol.,bob_Change %,feb_Date,feb_Price,feb_Open,feb_High,feb_Low,feb_Vol.,feb_Change %,hdf_Date,hdf_Price,hdf_Open,hdf_High,hdf_Low,hdf_Vol.,hdf_Change %,pn_Date,pn_Price,pn_Open,pn_High,pn_Low,pn_Vol.,pn_Change %,bank_Date,bank_Open,bank_High,bank_Low,bank_Close,bank_Shares Traded ,bank_Turnover (? Cr),Next_Date,Next_Price,Next_Open,Next_High,Next_Low,Next_Vol.,Next_Change %,Next_IC_Date,Next_IC_Price,Next_IC_Open,Next_IC_High,Next_IC_Low,Next_IC_Vol.,Next_IC_Change %,Next_Sb_Date,Next_Sb_Price,Next_Sb_Open,Next_Sb_High,Next_Sb_Low,Next_Sb_Vol.,Next_Sb_Change %,Next_axi_Date,Next_axi_Price,Next_axi_Open,Next_axi_High,Next_axi_Low,Next_axi_Vol.,Next_axi_Change %,Next_hdf_Date,Next_hdf_Price,Next_hdf_Open,Next_hdf_High,Next_hdf_Low,Next_hdf_Vol.,Next_hdf_Change %,Next_indu_Date,Next_indu_Price,Next_indu_Open,Next_indu_High,Next_indu_Low,Next_indu_Vol.,Next_indu_Change %,Next_auf_Date,Next_auf_Price,Next_auf_Open,Next_auf_High,Next_auf_Low,Next_auf_Vol.,Next_auf_Change %,Next_ban_Date,Next_ban_Price,Next_ban_Open,Next_ban_High,Next_ban_Low,Next_ban_Vol.,Next_ban_Change %,Next_bob_Date,Next_bob_Price,Next_bob_Open,Next_bob_High,Next_bob_Low,Next_bob_Vol.,Next_bob_Change %,Next_feb_Date,Next_feb_Price,Next_feb_Open,Next_feb_High,Next_feb_Low,Next_feb_Vol.,Next_feb_Change %,Next_hdf_Date,Next_hdf_Price,Next_hdf_Open,Next_hdf_High,Next_hdf_Low,Next_hdf_Vol.,Next_hdf_Change %,Next_pn_Date,Next_pn_Price,Next_pn_Open,Next_pn_High,Next_pn_Low,Next_pn_Vol.,Next_pn_Change %,Next_bank_Date,Next_bank_Open,Next_bank_High,Next_bank_Low,Next_bank_Close,Next_bank_Shares Traded ,Next_bank_Turnover (? Cr)
10-05-2024,"1,622.40","1,638.45","1,652.75","1,616.15",11.76M,-1.18%,10-05-2024,"1,118.30","1,117.85","1,128.80","1,112.30",8.57M,0.23%,10-05-2024,816.8,828.9,831.95,815.75,20.54M,-0.39%,10-05-2024,"1,120.10","1,123.70","1,140.00","1,113.35",7.24M,0.40%,10-05-2024,"1,439.85","1,438.95","1,451.95","1,433.00",13.64M,-0.75%,10-05-2024,"1,410.15","1,402.00","1,424.50","1,395.55",1.58M,0.45%,10-05-2024,635,632,635.95,626.05,1.59M,0.85%,10-05-2024,187.5,184.6,189.15,182.7,12.93M,2.46%,10-05-2024,255.2,265.05,266.5,250.7,39.45M,-2.84%,10-05-2024,160,158.4,160.35,156.7,10.87M,1.59%,10-05-2024,76.75,76,76.8,75.55,45.44M,1.45%,10-05-2024,124,123.8,124.75,120.75,45.12M,1.51%,10-May-24,47555.5,47868.7,47313.35,47421.1,218854712,10013.36,09-05-2024,"1,641.70","1,648.15","1,661.80","1,637.10",4.66M,-0.40%,09-05-2024,"1,115.70","1,120.55","1,128.85","1,110.00",12.23M,-0.96%,09-05-2024,820,810.6,839.5,804.15,49.26M,1.13%,09-05-2024,"1,115.65","1,122.00","1,134.55","1,112.20",5.23M,-1.15%,09-05-2024,"1,450.75","1,478.45","1,486.50","1,445.65",23.13M,-2.21%,09-05-2024,"1,403.90","1,448.95","1,455.80","1,394.10",3.27M,-2.93%,09-05-2024,629.65,627,635.9,622.05,1.86M,0.74%,09-05-2024,183,181.4,187.35,180.9,16.61M,0.94%,09-05-2024,262.65,270,271.7,259.95,33.56M,0.06%,09-05-2024,157.5,158,160.1,156.5,8.37M,-0.13%,09-05-2024,75.65,77.15,77.4,75.55,31.92M,-1.88%,09-05-2024,122.15,125.95,126.65,120.7,82.73M,-2.36%,09-May-24,47976.35,48258.65,47440.65,47487.9,272914366,13331.32
09-05-2024,"1,641.70","1,648.15","1,661.80","1,637.10",4.66M,-0.40%,09-05-2024,"1,115.70","1,120.55","1,128.85","1,110.00",12.23M,-0.96%,09-05-2024,820,810.6,839.5,804.15,49.26M,1.13%,09-05-2024,"1,115.65","1,122.00","1,134.55","1,112.20",5.23M,-1.15%,09-05-2024,"1,450.75","1,478.45","1,486.50","1,445.65",23.13M,-2.21%,09-05-2024,"1,403.90","1,448.95","1,455.80","1,394.10",3.27M,-2.93%,09-05-2024,629.65,627,635.9,622.05,1.86M,0.74%,09-05-2024,183,181.4,187.35,180.9,16.61M,0.94%,09-05-2024,262.65,270,271.7,259.95,33.56M,0.06%,09-05-2024,157.5,158,160.1,156.5,8.37M,-0.13%,09-05-2024,75.65,77.15,77.4,75.55,31.92M,-1.88%,09-05-2024,122.15,125.95,126.65,120.7,82.73M,-2.36%,09-May-24,47976.35,48258.65,47440.65,47487.9,272914366,13331.32,08-05-2024,"1,648.35","1,640.00","1,657.45","1,636.10",9.85M,0.26%,08-05-2024,"1,126.50","1,128.45","1,132.00","1,116.40",19.91M,-0.38%,08-05-2024,810.8,802.6,822,799.5,27.91M,0.91%,08-05-2024,"1,128.65","1,124.65","1,135.45","1,118.25",8.18M,0.09%,08-05-2024,"1,483.50","1,492.70","1,496.60","1,480.75",20.84M,-1.46%,08-05-2024,"1,446.30","1,442.00","1,450.20","1,431.50",5.28M,-0.53%,08-05-2024,625,633.5,633.8,620.1,3.72M,-0.79%,08-05-2024,181.3,180.55,181.9,179.1,11.43M,0.00%,08-05-2024,262.5,259.05,266.2,258.1,31.41M,1.33%,08-05-2024,157.7,159.4,161,156.85,18.89M,-1.13%,08-05-2024,77.1,77.7,78.2,76.7,57.71M,-0.96%,08-05-2024,125.1,122.6,126.15,122.15,70.86M,2.29%,08-May-24,48124.2,48223.05,47851.15,48021.1,286041100,13795.53
08-05-2024,"1,648.35","1,640.00","1,657.45","1,636.10",9.85M,0.26%,08-05-2024,"1,126.50","1,128.45","1,132.00","1,116.40",19.91M,-0.38%,08-05-2024,810.8,802.6,822,799.5,27.91M,0.91%,08-05-2024,"1,128.65","1,124.65","1,135.45","1,118.25",8.18M,0.09%,08-05-2024,"1,483.50","1,492.70","1,496.60","1,480.75",20.84M,-1.46%,08-05-2024,"1,446.30","1,442.00","1,450.20","1,431.50",5.28M,-0.53%,08-05-2024,625,633.5,633.8,620.1,3.72M,-0.79%,08-05-2024,181.3,180.55,181.9,179.1,11.43M,0.00%,08-05-2024,262.5,259.05,266.2,258.1,31.41M,1.33%,08-05-2024,157.7,159.4,161,156.85,18.89M,-1.13%,08-05-2024,77.1,77.7,78.2,76.7,57.71M,-0.96%,08-05-2024,125.1,122.6,126.15,122.15,70.86M,2.29%,08-May-24,48124.2,48223.05,47851.15,48021.1,286041100,13795.53,07-05-2024,"1,644.00","1,626.30","1,647.30","1,618.15",9.87M,1.20%,07-05-2024,"1,130.80","1,148.25","1,152.70","1,126.80",15.10M,-1.58%,07-05-2024,803.45,811.85,814.35,793.3,16.72M,-0.69%,07-05-2024,"1,127.65","1,146.95","1,148.35","1,124.05",7.12M,-1.58%,07-05-2024,"1,505.50","1,521.40","1,523.40","1,504.20",14.24M,-1.16%,07-05-2024,"1,454.00","1,501.25","1,501.95","1,448.30",1.88M,-2.90%,07-05-2024,630,637.2,639,626.65,1.79M,-0.40%,07-05-2024,181.3,187,187.1,180.65,7.77M,-2.81%,07-05-2024,259.05,266.6,268.35,257.8,17.37M,-2.10%,07-05-2024,159.5,164,164.15,159.15,11.47M,-2.57%,07-05-2024,77.85,80,80.15,77.4,40.68M,-2.87%,07-05-2024,122.3,127.9,127.95,120.75,86.24M,-3.78%,07-May-24,48965.05,49023.5,48213.75,48285.35,230306618,10179.38
07-05-2024,"1,644.00","1,626.30","1,647.30","1,618.15",9.87M,1.20%,07-05-2024,"1,130.80","1,148.25","1,152.70","1,126.80",15.10M,-1.58%,07-05-2024,803.45,811.85,814.35,793.3,16.72M,-0.69%,07-05-2024,"1,127.65","1,146.95","1,148.35","1,124.05",7.12M,-1.58%,07-05-2024,"1,505.50","1,521.40","1,523.40","1,504.20",14.24M,-1.16%,07-05-2024,"1,454.00","1,501.25","1,501.95","1,448.30",1.88M,-2.90%,07-05-2024,630,637.2,639,626.65,1.79M,-0.40%,07-05-2024,181.3,187,187.1,180.65,7.77M,-2.81%,07-05-2024,259.05,266.6,268.35,257.8,17.37M,-2.10%,07-05-2024,159.5,164,164.15,159.15,11.47M,-2.57%,07-05-2024,77.85,80,80.15,77.4,40.68M,-2.87%,07-05-2024,122.3,127.9,127.95,120.75,86.24M,-3.78%,07-May-24,48965.05,49023.5,48213.75,48285.35,230306618,10179.38,06-05-2024,"1,624.50","1,601.65","1,633.00","1,595.95",21.60M,5.03%,06-05-2024,"1,149.00","1,141.75","1,158.40","1,140.70",14.97M,0.61%,06-05-2024,809,833.25,833.25,803.3,35.28M,-2.70%,06-05-2024,"1,145.75","1,136.05","1,156.00","1,136.05",7.49M,0.37%,06-05-2024,"1,523.10","1,519.55","1,534.25","1,517.90",14.39M,0.23%,06-05-2024,"1,497.50","1,495.70","1,510.00","1,482.05",2.60M,0.93%,06-05-2024,632.55,644.55,655.1,631.4,2.19M,-2.01%,06-05-2024,186.55,188.85,189.4,184.35,10.01M,-0.61%,06-05-2024,264.6,275.95,275.95,260,34.25M,-4.04%,06-05-2024,163.7,167.7,167.7,160.55,19.66M,-1.36%,06-05-2024,80.15,81.15,81.2,79.95,33.29M,-1.05%,06-05-2024,127.1,136.9,136.9,126.4,144.40M,-6.41%,06-May-24,49174.55,49252.65,48784,48895.3,340187386,15200.24
06-05-2024,"1,624.50","1,601.65","1,633.00","1,595.95",21.60M,5.03%,06-05-2024,"1,149.00","1,141.75","1,158.40","1,140.70",14.97M,0.61%,06-05-2024,809,833.25,833.25,803.3,35.28M,-2.70%,06-05-2024,"1,145.75","1,136.05","1,156.00","1,136.05",7.49M,0.37%,06-05-2024,"1,523.10","1,519.55","1,534.25","1,517.90",14.39M,0.23%,06-05-2024,"1,497.50","1,495.70","1,510.00","1,482.05",2.60M,0.93%,06-05-2024,632.55,644.55,655.1,631.4,2.19M,-2.01%,06-05-2024,186.55,188.85,189.4,184.35,10.01M,-0.61%,06-05-2024,264.6,275.95,275.95,260,34.25M,-4.04%,06-05-2024,163.7,167.7,167.7,160.55,19.66M,-1.36%,06-05-2024,80.15,81.15,81.2,79.95,33.29M,-1.05%,06-05-2024,127.1,136.9,136.9,126.4,144.40M,-6.41%,06-May-24,49174.55,49252.65,48784,48895.3,340187386,15200.24,03-05-2024,"1,546.70","1,583.00","1,587.90","1,543.85",16.12M,-1.84%,03-05-2024,"1,142.05","1,141.30","1,157.40","1,135.45",19.93M,0.23%,03-05-2024,831.45,834.8,836.2,820,22.67M,0.17%,03-05-2024,"1,141.50","1,150.90","1,163.25","1,134.10",9.99M,-0.73%,03-05-2024,"1,519.60","1,533.25","1,540.60","1,507.20",15.93M,-0.83%,03-05-2024,"1,483.70","1,517.20","1,517.95","1,473.05",2.12M,-1.43%,03-05-2024,645.5,647.55,653.7,640.55,3.66M,0.32%,03-05-2024,187.7,191.55,192.5,186.95,9.23M,-1.55%,03-05-2024,275.75,282.25,282.5,274.25,19.57M,-1.31%,03-05-2024,165.95,168.5,169.5,164,17.76M,-1.22%,03-05-2024,81,81.85,82.1,80.5,24.59M,-0.74%,03-05-2024,135.8,139.15,139.3,134.25,61.35M,-1.63%,03-May-24,49375.05,49607.75,48659.7,48923.55,222964426,12837.75
03-05-2024,"1,546.70","1,583.00","1,587.90","1,543.85",16.12M,-1.84%,03-05-2024,"1,142.05","1,141.30","1,157.40","1,135.45",19.93M,0.23%,03-05-2024,831.45,834.8,836.2,820,22.67M,0.17%,03-05-2024,"1,141.50","1,150.90","1,163.25","1,134.10",9.99M,-0.73%,03-05-2024,"1,519.60","1,533.25","1,540.60","1,507.20",15.93M,-0.83%,03-05-2024,"1,483.70","1,517.20","1,517.95","1,473.05",2.12M,-1.43%,03-05-2024,645.5,647.55,653.7,640.55,3.66M,0.32%,03-05-2024,187.7,191.55,192.5,186.95,9.23M,-1.55%,03-05-2024,275.75,282.25,282.5,274.25,19.57M,-1.31%,03-05-2024,165.95,168.5,169.5,164,17.76M,-1.22%,03-05-2024,81,81.85,82.1,80.5,24.59M,-0.74%,03-05-2024,135.8,139.15,139.3,134.25,61.35M,-1.63%,03-May-24,49375.05,49607.75,48659.7,48923.55,222964426,12837.75,02-05-2024,"1,575.65","1,590.00","1,594.50","1,552.40",26.64M,-2.97%,02-05-2024,"1,139.45","1,143.00","1,155.50","1,133.25",25.12M,-0.95%,02-05-2024,830.05,826.9,833.9,825,19.94M,0.46%,02-05-2024,"1,149.85","1,156.00","1,174.00","1,148.00",12.30M,-1.38%,02-05-2024,"1,532.25","1,522.00","1,537.00","1,520.35",16.74M,0.80%,02-05-2024,"1,505.20","1,508.00","1,521.30","1,500.05",2.55M,-0.69%,02-05-2024,643.45,635.9,648.95,634,4.31M,1.55%,02-05-2024,190.65,189,191.3,188.55,11.93M,1.25%,02-05-2024,279.4,281.45,283.9,279,12.37M,-0.75%,02-05-2024,168,169.5,170.3,162.85,75.88M,3.32%,02-05-2024,81.6,82.3,82.65,81.45,25.61M,-0.67%,02-05-2024,138.05,141.1,142.5,137.35,58.42M,-2.13%,02-May-24,49262,49529.35,49123.6,49231.05,291857104,16230.32
02-05-2024,"1,575.65","1,590.00","1,594.50","1,552.40",26.64M,-2.97%,02-05-2024,"1,139.45","1,143.00","1,155.50","1,133.25",25.12M,-0.95%,02-05-2024,830.05,826.9,833.9,825,19.94M,0.46%,02-05-2024,"1,149.85","1,156.00","1,174.00","1,148.00",12.30M,-1.38%,02-05-2024,"1,532.25","1,522.00","1,537.00","1,520.35",16.74M,0.80%,02-05-2024,"1,505.20","1,508.00","1,521.30","1,500.05",2.55M,-0.69%,02-05-2024,643.45,635.9,648.95,634,4.31M,1.55%,02-05-2024,190.65,189,191.3,188.55,11.93M,1.25%,02-05-2024,279.4,281.45,283.9,279,12.37M,-0.75%,02-05-2024,168,169.5,170.3,162.85,75.88M,3.32%,02-05-2024,81.6,82.3,82.65,81.45,25.61M,-0.67%,02-05-2024,138.05,141.1,142.5,137.35,58.42M,-2.13%,02-May-24,49262,49529.35,49123.6,49231.05,291857104,16230.32,30-04-2024,"1,623.95","1,640.40","1,647.00","1,620.00",18.21M,-1.00%,30-04-2024,"1,150.40","1,159.95","1,169.55","1,146.75",29.57M,-0.84%,30-04-2024,826.25,826.5,834.85,819.9,27.45M,-0.03%,30-04-2024,"1,165.90","1,160.15","1,182.90","1,155.15",18.97M,0.57%,30-04-2024,"1,520.10","1,529.20","1,539.50","1,514.90",26.15M,-0.61%,30-04-2024,"1,515.70","1,497.80","1,537.00","1,489.00",6.29M,1.91%,30-04-2024,633.6,644.1,645.3,623.55,7.59M,-0.68%,30-04-2024,188.3,184,190.1,183.7,23.33M,2.39%,30-04-2024,281.5,273.35,284.8,272.6,39.45M,3.26%,30-04-2024,162.6,161.4,164.65,159.55,32.47M,1.34%,30-04-2024,82.15,82.05,82.6,80.85,78.00M,0.61%,30-04-2024,141.05,137.9,142.9,136.4,95.39M,2.77%,30-Apr-24,49477.1,49974.75,49249.9,49396.75,402874252,20351.02
30-04-2024,"1,623.95","1,640.40","1,647.00","1,620.00",18.21M,-1.00%,30-04-2024,"1,150.40","1,159.95","1,169.55","1,146.75",29.57M,-0.84%,30-04-2024,826.25,826.5,834.85,819.9,27.45M,-0.03%,30-04-2024,"1,165.90","1,160.15","1,182.90","1,155.15",18.97M,0.57%,30-04-2024,"1,520.10","1,529.20","1,539.50","1,514.90",26.15M,-0.61%,30-04-2024,"1,515.70","1,497.80","1,537.00","1,489.00",6.29M,1.91%,30-04-2024,633.6,644.1,645.3,623.55,7.59M,-0.68%,30-04-2024,188.3,184,190.1,183.7,23.33M,2.39%,30-04-2024,281.5,273.35,284.8,272.6,39.45M,3.26%,30-04-2024,162.6,161.4,164.65,159.55,32.47M,1.34%,30-04-2024,82.15,82.05,82.6,80.85,78.00M,0.61%,30-04-2024,141.05,137.9,142.9,136.4,95.39M,2.77%,30-Apr-24,49477.1,49974.75,49249.9,49396.75,402874252,20351.02,29-04-2024,"1,640.40","1,610.10","1,647.25","1,609.50",11.23M,1.98%,29-04-2024,"1,160.15","1,108.00","1,163.45","1,107.90",28.58M,4.72%,29-04-2024,826.5,807,831.25,798.7,27.30M,3.14%,29-04-2024,"1,159.25","1,130.30","1,164.00","1,125.30",15.18M,2.56%,29-04-2024,"1,529.50","1,515.00","1,534.45","1,506.55",18.05M,1.30%,29-04-2024,"1,487.25","1,458.75","1,491.00","1,450.10",5.46M,2.82%,29-04-2024,637.95,625.5,647.65,612.25,10.20M,6.36%,29-04-2024,183.9,185,185,182,7.47M,-0.16%,29-04-2024,272.6,269.1,273.9,265,22.26M,1.70%,29-04-2024,160.45,158,160.9,156.05,24.05M,2.13%,29-04-2024,81.65,83.4,83.5,80,106.19M,-3.71%,29-04-2024,137.25,137.5,138.85,134.85,51.16M,0.59%,29-Apr-24,48359.9,49473.6,48342.7,49424.05,327134115,15966.76
29-04-2024,"1,640.40","1,610.10","1,647.25","1,609.50",11.23M,1.98%,29-04-2024,"1,160.15","1,108.00","1,163.45","1,107.90",28.58M,4.72%,29-04-2024,826.5,807,831.25,798.7,27.30M,3.14%,29-04-2024,"1,159.25","1,130.30","1,164.00","1,125.30",15.18M,2.56%,29-04-2024,"1,529.50","1,515.00","1,534.45","1,506.55",18.05M,1.30%,29-04-2024,"1,487.25","1,458.75","1,491.00","1,450.10",5.46M,2.82%,29-04-2024,637.95,625.5,647.65,612.25,10.20M,6.36%,29-04-2024,183.9,185,185,182,7.47M,-0.16%,29-04-2024,272.6,269.1,273.9,265,22.26M,1.70%,29-04-2024,160.45,158,160.9,156.05,24.05M,2.13%,29-04-2024,81.65,83.4,83.5,80,106.19M,-3.71%,29-04-2024,137.25,137.5,138.85,134.85,51.16M,0.59%,29-Apr-24,48359.9,49473.6,48342.7,49424.05,327134115,15966.76,26-04-2024,"1,608.50","1,642.45","1,655.00","1,605.00",22.15M,-2.07%,26-04-2024,"1,107.90","1,112.15","1,120.00","1,102.75",14.19M,-0.53%,26-04-2024,801.3,815.9,816.9,798.9,14.96M,-1.40%,26-04-2024,"1,130.30","1,130.00","1,141.35","1,123.00",10.13M,0.29%,26-04-2024,"1,509.80","1,519.80","1,528.00","1,505.55",12.43M,-0.06%,26-04-2024,"1,446.40","1,511.50","1,519.00","1,443.30",6.14M,-3.32%,26-04-2024,599.8,613.1,613.4,598.15,2.42M,-1.49%,26-04-2024,184.2,185,185.85,183.6,6.87M,-0.22%,26-04-2024,268.05,270,272.7,267.35,14.78M,-0.22%,26-04-2024,157.1,156.3,158.55,156.05,15.13M,0.74%,26-04-2024,84.8,84.1,86.1,83.8,55.91M,1.68%,26-04-2024,136.45,136.55,138.1,136,33.02M,0.40%,26-Apr-24,48660,48679.65,48088.25,48201.05,208118242,12146.84
26-04-2024,"1,608.50","1,642.45","1,655.00","1,605.00",22.15M,-2.07%,26-04-2024,"1,107.90","1,112.15","1,120.00","1,102.75",14.19M,-0.53%,26-04-2024,801.3,815.9,816.9,798.9,14.96M,-1.40%,26-04-2024,"1,130.30","1,130.00","1,141.35","1,123.00",10.13M,0.29%,26-04-2024,"1,509.80","1,519.80","1,528.00","1,505.55",12.43M,-0.06%,26-04-2024,"1,446.40","1,511.50","1,519.00","1,443.30",6.14M,-3.32%,26-04-2024,599.8,613.1,613.4,598.15,2.42M,-1.49%,26-04-2024,184.2,185,185.85,183.6,6.87M,-0.22%,26-04-2024,268.05,270,272.7,267.35,14.78M,-0.22%,26-04-2024,157.1,156.3,158.55,156.05,15.13M,0.74%,26-04-2024,84.8,84.1,86.1,83.8,55.91M,1.68%,26-04-2024,136.45,136.55,138.1,136,33.02M,0.40%,26-Apr-24,48660,48679.65,48088.25,48201.05,208118242,12146.84,25-04-2024,"1,642.45","1,665.00","1,697.80","1,602.00",66.18M,-10.87%,25-04-2024,"1,113.75","1,090.00","1,125.65","1,089.95",19.91M,1.55%,25-04-2024,812.7,770.65,814.4,769.65,36.73M,5.12%,25-04-2024,"1,127.00","1,100.00","1,133.95","1,086.10",46.14M,6.00%,25-04-2024,"1,510.75","1,506.25","1,519.70","1,506.25",17.72M,-0.06%,25-04-2024,"1,496.10","1,476.05","1,499.50","1,470.55",3.70M,1.45%,25-04-2024,608.85,613.9,633.6,605.75,6.26M,-1.63%,25-04-2024,184.6,184,185.75,182.25,10.61M,0.41%,25-04-2024,268.65,259,269.5,258.5,23.48M,3.69%,25-04-2024,155.95,153.5,156.6,153.5,17.91M,1.53%,25-04-2024,83.4,83.35,83.75,82.9,29.52M,0.06%,25-04-2024,135.9,132.95,137,132.55,59.27M,2.18%,25-Apr-24,47772.65,48625.45,47737.2,48494.95,337412581,27018.59
