Date,Open,High,Low,Close,Adj Close,Volume,highorlow,isIncreseing
04-01-2016,7924.549805,7937.549805,7781.100098,7791.299805,7791.299805,134700,43.75,1
05-01-2016,7828.399902,7831.200195,7763.25,7784.649902,7784.649902,145200,47.049805,1
06-01-2016,7788.049805,7800.950195,7721.200195,7741,7741,147100,105.050293,1
07-01-2016,7673.350098,7674.950195,7556.600098,7568.299805,7568.299805,188900,10.299804,1
08-01-2016,7611.649902,7634.100098,7581.049805,7601.350098,7601.350098,157400,-36.399903,0
11-01-2016,7527.450195,7605.100098,7494.350098,7563.850098,7563.850098,189000,76.90039,1
12-01-2016,7587.200195,7588.299805,7487.799805,7510.299805,7510.299805,163900,-4.5,0
13-01-2016,7557.899902,7590.950195,7425.799805,7562.399902,7562.399902,215200,-69.399903,0
14-01-2016,7467.399902,7604.799805,7443.799805,7536.799805,7536.799805,200800,123.850097,1
15-01-2016,7561.649902,7566.5,7427.299805,7437.799805,7437.799805,197500,69.350098,1
18-01-2016,7420.350098,7463.649902,7336.399902,7351,7351,233600,-53.300293,0
19-01-2016,7381.799805,7462.75,7364.149902,7435.100098,7435.100098,188300,47.700195,1
20-01-2016,7357,7470.899902,7241.5,7309.299805,7309.299805,225600,99.850097,1
21-01-2016,7376.649902,7398.700195,7250,7276.799805,7276.799805,240700,-66.75,0
22-01-2016,7355.700195,7433.399902,7327.600098,7422.450195,7422.450195,229200,32.600098,1
25-01-2016,7468.75,7487.149902,7421.200195,7436.149902,7436.149902,163200,31.850098,1
27-01-2016,7469.600098,7477.899902,7419.700195,7437.75,7437.75,187600,1.850098,1
28-01-2016,7426.5,7468.850098,7409.600098,7424.649902,7424.649902,274500,-150.199707,0
29-01-2016,7413.350098,7575.649902,7402.799805,7563.549805,7563.549805,298700,33.549805,1
01-02-2016,7589.5,7600.450195,7541.25,7555.950195,7555.950195,200400,111.100097,1
02-02-2016,7566.649902,7576.299805,7428.049805,7455.549805,7455.549805,230200,30.65039,1
03-02-2016,7392.450195,7419.399902,7350.299805,7361.799805,7361.799805,192000,7.450195,1
04-02-2016,7411.450195,7457.049805,7365.950195,7404,7404,222700,-70.850098,0
05-02-2016,7418.25,7503.149902,7406.649902,7489.100098,7489.100098,249800,102.450195,1
